length	run	comparisons	blacklistings
8	1	65	0
8	2	72	0
8	3	58	0
8	4	53	0
8	5	61	0
8	6	62	0
8	7	67	0
8	8	53	0
8	9	57	0
8	10	62	0
16	1	173	0
16	2	195	0
16	3	203	0
16	4	160	0
16	5	185	0
16	6	165	0
16	7	143	0
16	8	162	0
16	9	153	0
16	10	187	0
24	1	206	0
24	2	261	0
24	3	296	0
24	4	339	0
24	5	306	0
24	6	279	0
24	7	282	0
24	8	282	0
24	9	278	0
24	10	252	0
32	1	416	0
32	2	399	0
32	3	407	0
32	4	473	0
32	5	418	0
32	6	464	0
32	7	441	0
32	8	399	0
32	9	382	0
32	10	469	0
40	1	524	0
40	2	486	0
40	3	442	0
40	4	537	0
40	5	579	0
40	6	497	0
40	7	608	0
40	8	557	0
40	9	513	0
40	10	551	0
48	1	691	0
48	2	724	0
48	3	749	0
48	4	640	0
48	5	676	0
48	6	640	0
48	7	617	0
48	8	659	0
48	9	652	0
48	10	664	0
56	1	760	0
56	2	777	0
56	3	862	0
56	4	799	0
56	5	920	0
56	6	865	0
56	7	859	0
56	8	748	0
56	9	773	0
56	10	791	0
64	1	931	1
64	2	1018	0
64	3	907	0
64	4	973	0
64	5	827	0
64	6	869	0
64	7	1026	0
64	8	910	0
64	9	1171	0
64	10	760	1
72	1	1145	0
72	2	1054	0
72	3	1082	0
72	4	1087	0
72	5	1147	0
72	6	1025	1
72	7	946	0
72	8	1053	0
72	9	1191	0
72	10	897	1
80	1	1370	0
80	2	1315	0
80	3	1113	0
80	4	1178	0
80	5	1189	0
80	6	1002	1
80	7	1115	1
80	8	1146	0
80	9	1233	0
80	10	1256	0
88	1	1351	0
88	2	1369	0
88	3	1397	0
88	4	1409	0
88	5	1455	0
88	6	1408	0
88	7	1365	0
88	8	1485	0
88	9	1168	0
88	10	1278	0
96	1	1360	0
96	2	1330	1
96	3	1523	0
96	4	1743	0
96	5	1569	0
96	6	1173	1
96	7	1497	0
96	8	1491	0
96	9	1587	1
96	10	1302	0
104	1	1731	0
104	2	1568	1
104	3	1622	1
104	4	1710	0
104	5	1645	0
104	6	1528	1
104	7	1491	0
104	8	1362	1
104	9	1624	0
104	10	1678	0
112	1	1537	1
112	2	1799	0
112	3	1567	0
112	4	1807	0
112	5	1978	0
112	6	1480	1
112	7	1281	1
112	8	1725	0
112	9	1755	0
112	10	1707	0
120	1	1909	0
120	2	1785	1
120	3	1968	1
120	4	1716	1
120	5	1863	1
120	6	1659	1
120	7	1979	0
120	8	2074	0
120	9	1827	0
120	10	1927	0
128	1	1851	1
128	2	1924	1
128	3	1664	1
128	4	1956	1
128	5	1921	0
128	6	1585	1
128	7	2157	0
128	8	1856	0
128	9	2138	0
128	10	2061	0
136	1	2042	1
136	2	2029	1
136	3	1972	1
136	4	2209	0
136	5	2136	1
136	6	2082	0
136	7	1790	1
136	8	2024	1
136	9	2115	0
136	10	2183	0
144	1	2078	1
144	2	2022	1
144	3	2488	0
144	4	1923	1
144	5	2346	0
144	6	2258	0
144	7	2219	0
144	8	1926	1
144	9	2309	0
144	10	2063	0
152	1	2411	0
152	2	2370	1
152	3	2261	1
152	4	2040	1
152	5	2195	1
152	6	2566	0
152	7	2508	1
152	8	2572	0
152	9	2224	1
152	10	2251	0
160	1	2651	1
160	2	2396	1
160	3	2151	1
160	4	2760	1
160	5	2808	0
160	6	2277	1
160	7	2807	0
160	8	2806	0
160	9	2160	1
160	10	2054	1
168	1	3047	0
168	2	2823	0
168	3	2494	1
168	4	2567	1
168	5	2913	1
168	6	2342	1
168	7	2070	1
168	8	2332	1
168	9	2690	1
168	10	2526	1
176	1	2765	1
176	2	2800	0
176	3	2471	1
176	4	3250	0
176	5	2988	0
176	6	2674	0
176	7	2290	1
176	8	2946	0
176	9	3330	0
176	10	2877	1
184	1	2860	1
184	2	3047	1
184	3	2619	1
184	4	3082	0
184	5	2864	1
184	6	3328	0
184	7	2783	1
184	8	3078	1
184	9	2813	1
184	10	2776	1
192	1	2975	1
192	2	3131	1
192	3	3195	1
192	4	3383	0
192	5	3106	0
192	6	3126	1
192	7	3143	0
192	8	3177	1
192	9	2876	1
192	10	3245	0
200	1	3365	0
200	2	3004	1
200	3	3192	0
200	4	3466	0
200	5	3642	0
200	6	3579	0
200	7	3915	0
200	8	2498	1
