length	run	comparisons	blacklistings
8	1	43	0
8	2	59	0
8	3	52	0
8	4	47	0
8	5	51	0
8	6	53	0
8	7	42	0
8	8	53	0
8	9	60	0
8	10	49	0
16	1	165	0
16	2	163	0
16	3	165	0
16	4	163	0
16	5	174	0
16	6	163	0
16	7	167	0
16	8	154	0
16	9	174	0
16	10	168	0
24	1	311	0
24	2	311	0
24	3	318	0
24	4	298	0
24	5	279	0
24	6	320	0
24	7	280	0
24	8	338	0
24	9	274	0
24	10	310	0
32	1	424	0
32	2	463	0
32	3	473	0
32	4	425	0
32	5	436	0
32	6	448	0
32	7	462	0
32	8	454	0
32	9	444	0
32	10	444	0
40	1	643	0
40	2	607	0
40	3	612	0
40	4	659	0
40	5	688	0
40	6	618	0
40	7	636	0
40	8	591	0
40	9	675	0
40	10	662	0
48	1	867	0
48	2	822	0
48	3	835	0
48	4	809	0
48	5	839	0
48	6	812	0
48	7	783	0
48	8	704	0
48	9	802	0
48	10	761	0
56	1	1017	0
56	2	993	0
56	3	987	0
56	4	1055	0
56	5	963	0
56	6	1057	0
56	7	941	0
56	8	900	0
56	9	993	0
56	10	996	0
64	1	1244	0
64	2	1223	0
64	3	1152	0
64	4	1201	0
64	5	1210	0
64	6	1193	0
64	7	1010	0
64	8	1162	0
64	9	1252	0
64	10	1237	0
72	1	1381	0
72	2	1450	0
72	3	1436	0
72	4	1461	0
72	5	1110	0
72	6	1416	0
72	7	1320	0
72	8	1356	0
72	9	1431	0
72	10	1284	0
80	1	1626	0
80	2	1630	0
80	3	1575	0
80	4	1599	0
80	5	1630	0
80	6	1537	0
80	7	1649	0
80	8	1677	0
80	9	1586	0
80	10	1578	0
88	1	1799	0
88	2	1719	0
88	3	1856	0
88	4	1899	0
88	5	1776	0
88	6	1790	0
88	7	1861	0
88	8	1892	0
88	9	1866	0
88	10	1621	0
96	1	2058	0
96	2	2029	0
96	3	1934	0
96	4	1883	0
96	5	2028	0
96	6	2054	0
96	7	2048	0
96	8	1864	0
96	9	2031	0
96	10	1952	0
104	1	2009	0
104	2	2157	0
104	3	2173	0
104	4	2239	0
104	5	2197	0
104	6	2080	0
104	7	2231	0
104	8	2055	0
104	9	2187	0
104	10	2235	0
112	1	2540	0
112	2	2424	0
112	3	2019	0
112	4	2394	0
112	5	2275	0
112	6	2316	0
112	7	2308	0
112	8	2632	0
