length	run	comparisons	blacklistings
8	1	57	0
8	2	60	0
8	3	61	0
8	4	62	0
8	5	56	0
8	6	62	0
8	7	59	0
8	8	56	0
8	9	39	0
8	10	68	0
16	1	181	0
16	2	176	0
16	3	176	0
16	4	151	0
16	5	160	0
16	6	180	0
16	7	164	0
16	8	160	0
16	9	200	0
16	10	176	0
24	1	308	0
24	2	349	0
24	3	360	0
24	4	318	0
24	5	290	0
24	6	317	0
24	7	345	0
24	8	290	0
24	9	309	0
24	10	359	0
32	1	435	0
32	2	518	0
32	3	398	0
32	4	423	0
32	5	378	0
32	6	402	0
32	7	463	0
32	8	457	0
32	9	436	0
32	10	494	0
40	1	626	0
40	2	601	0
40	3	603	0
40	4	594	0
40	5	617	0
40	6	639	0
40	7	628	0
40	8	554	0
40	9	558	0
40	10	568	0
48	1	837	0
48	2	746	0
48	3	776	0
48	4	681	0
48	5	864	0
48	6	750	0
48	7	827	0
48	8	667	0
48	9	700	0
48	10	777	0
56	1	751	0
56	2	979	0
56	3	848	0
56	4	717	0
56	5	964	0
56	6	905	0
56	7	1041	0
56	8	843	0
56	9	908	0
56	10	872	0
64	1	1113	0
64	2	1223	0
64	3	1101	0
64	4	1213	0
64	5	1168	0
64	6	1120	0
64	7	1147	0
64	8	973	0
64	9	1136	0
64	10	933	0
72	1	1288	0
72	2	1261	0
72	3	1051	0
72	4	1374	0
72	5	1244	0
72	6	1012	0
72	7	1252	0
72	8	1387	0
72	9	1040	1
72	10	1230	0
80	1	1361	0
80	2	1323	0
80	3	1469	0
80	4	1569	0
80	5	1456	0
80	6	1346	0
80	7	1400	0
80	8	1348	0
80	9	1401	0
80	10	1405	0
88	1	1581	0
88	2	1452	1
88	3	1479	0
88	4	1538	0
88	5	1565	0
88	6	1595	0
88	7	1368	1
88	8	1563	0
88	9	1646	0
88	10	1368	0
96	1	1731	0
96	2	1917	0
96	3	1838	0
96	4	1740	0
96	5	1433	0
96	6	1518	0
96	7	1898	0
96	8	1774	0
96	9	1529	0
96	10	1568	0
104	1	2025	0
104	2	1657	1
104	3	1693	0
104	4	1931	0
104	5	1687	0
104	6	2039	0
104	7	1884	0
104	8	1816	0
104	9	1972	0
104	10	1969	0
112	1	1933	0
112	2	1915	0
112	3	1741	1
112	4	2251	0
112	5	1978	0
112	6	2023	0
112	7	2235	0
112	8	1981	0
112	9	2074	0
112	10	2191	0
120	1	2393	0
120	2	2130	0
120	3	1897	0
120	4	2111	0
120	5	1920	0
120	6	2238	0
120	7	2288	0
120	8	2231	0
120	9	2075	0
120	10	2088	1
128	1	2539	0
128	2	2483	0
128	3	2342	0
128	4	2199	0
128	5	2289	0
128	6	2172	0
128	7	2323	0
128	8	2239	0
128	9	1922	1
128	10	2497	0
136	1	2439	0
136	2	2367	1
136	3	2078	1
136	4	2645	0
136	5	2752	0
136	6	2322	0
136	7	2352	0
136	8	2438	0
136	9	2444	0
136	10	2577	0
144	1	3186	0
144	2	2773	0
144	3	2671	0
144	4	2680	0
