length	run	comparisons	blacklistings
256	7	6049	0
256	8	6050	0
256	9	6564	0
256	10	6138	0
264	1	6825	0
264	2	6279	0
264	3	6090	0
264	4	6305	0
264	5	5820	0
264	6	4729	1
264	7	6125	0
264	8	5462	1
264	9	5783	0
264	10	4763	1
272	1	5990	1
272	2	6640	0
272	3	6626	0
272	4	6359	0
272	5	5684	1
272	6	6535	0
272	7	6539	0
272	8	7468	0
272	9	6490	0
272	10	6663	0
280	1	6988	0
280	2	5669	1
280	3	6783	0
280	4	7185	0
280	5	7119	0
280	6	6984	0
280	7	6782	0
280	8	6385	0
280	9	6198	0
280	10	6550	0
288	1	6932	0
288	2	6756	0
288	3	6836	0
288	4	7745	0
288	5	7036	0
288	6	7635	0
288	7	6155	0
288	8	7121	0
288	9	7069	0
288	10	7101	0
296	1	6997	0
296	2	5386	1
296	3	7034	0
296	4	7240	0
296	5	6904	0
296	6	7317	0
296	7	6742	0
296	8	6885	0
296	9	5503	1
296	10	7536	0
304	1	7640	0
304	2	7589	0
304	3	6499	1
304	4	8062	0
304	5	7913	0
304	6	7104	0
304	7	5107	1
304	8	5538	1
304	9	7672	0
304	10	7774	0
312	1	6050	1
312	2	7547	0
312	3	7622	0
312	4	6730	0
312	5	7467	0
312	6	7556	0
312	7	7641	0
312	8	7652	0
312	9	7487	0
312	10	7558	0
320	1	7832	0
320	2	7394	0
320	3	7898	0
320	4	8385	0
320	5	7371	0
320	6	8491	0
320	7	7677	0
320	8	7589	0
320	9	7751	0
320	10	8212	0
328	1	7921	0
328	2	7641	1
328	3	7655	0
328	4	8059	0
328	5	7758	0
328	6	7679	0
328	7	8000	0
328	8	8165	0
328	9	8313	0
328	10	7829	0
336	1	9071	0
336	2	8189	0
336	3	8367	0
336	4	8055	0
336	5	8021	0
336	6	7960	0
336	7	8490	0
336	8	7381	1
336	9	8319	0
336	10	8787	0
344	1	7543	0
344	2	6504	1
344	3	8771	0
344	4	7843	0
344	5	8981	0
344	6	8376	0
344	7	8517	0
344	8	7360	1
344	9	8792	0
344	10	8685	0
352	1	8152	0
352	2	8491	0
352	3	8566	0
352	4	8012	0
352	5	8879	0
352	6	8003	0
352	7	8376	0
352	8	9469	0
352	9	8804	0
352	10	8324	0
360	1	7230	1
360	2	9547	0
360	3	9256	0
360	4	8777	0
360	5	8355	0
360	6	8602	0
360	7	8900	0
360	8	8357	0
360	9	9068	0
360	10	7342	1
368	1	8718	0
368	2	9176	0
368	3	9279	0
368	4	9802	0
368	5	9506	0
368	6	8383	0
368	7	8877	0
368	8	9592	0
368	9	9177	0
368	10	9032	0
376	1	8999	0
376	2	9126	0
376	3	8912	0
376	4	6809	1
376	5	9000	0
376	6	9240	0
376	7	9276	1
376	8	9089	0
376	9	9546	0
376	10	9488	0
384	1	10040	0
384	2	9564	0
384	3	9415	0
384	4	9191	0
384	5	8699	0
384	6	10023	0
384	7	9230	0
384	8	9752	0
384	9	9777	0
384	10	10215	0
392	1	9692	0
392	2	9388	0
392	3	9472	0
392	4	9821	0
392	5	10261	0
392	6	9905	0
392	7	9948	0
392	8	9476	0
392	9	9413	0
392	10	9203	1
400	1	10535	0
400	2	9159	1
400	3	10065	0
400	4	9792	0
400	5	9848	0
400	6	9305	0
400	7	9712	0
400	8	10464	0
400	9	7845	1
400	10	9279	1
408	1	10645	0
408	2	10985	0
408	3	10772	0
408	4	10290	0
408	5	10642	0
408	6	10616	0
408	7	8226	1
408	8	10468	0
408	9	7563	1
408	10	10344	0
416	1	11226	0
416	2	11185	0
416	3	7847	1
416	4	10142	0
416	5	10281	0
416	6	11340	0
416	7	10664	0
416	8	10036	0
416	9	10796	0
416	10	10321	0
424	1	10446	0
424	2	10027	1
424	3	11058	0
424	4	8408	1
424	5	9252	1
424	6	11443	0
424	7	10094	0
424	8	10384	0
424	9	8838	1
424	10	11148	0
432	1	11452	0
432	2	10995	0
432	3	11154	0
432	4	11023	0
432	5	10316	0
432	6	10966	0
432	7	11217	0
432	8	10846	0
432	9	11221	0
432	10	10911	0
440	1	11147	0
440	2	9249	1
440	3	11384	0
440	4	11020	0
440	5	9888	1
440	6	11801	0
440	7	11676	0
440	8	11472	0
440	9	10037	0
440	10	10800	0
448	1	11290	0
448	2	11769	0
448	3	11600	0
448	4	11189	0
448	5	10659	0
448	6	11047	0
448	7	11524	0
448	8	11903	0
448	9	10859	0
448	10	12476	0
456	1	10013	1
456	2	11873	0
456	3	11325	0
456	4	9370	1
456	5	11482	0
456	6	11515	0
456	7	11083	0
456	8	12645	0
456	9	11700	0
456	10	11523	1
464	1	11795	0
464	2	12049	0
464	3	11828	0
464	4	12098	0
464	5	11655	0
464	6	11052	0
464	7	8819	1
464	8	12569	0
464	9	11018	1
464	10	11771	0
472	1	12113	0
472	2	10738	0
472	3	9757	1
472	4	12937	0
472	5	11883	0
472	6	12420	0
472	7	10598	1
472	8	12035	0
472	9	10376	1
472	10	12322	0
480	1	11684	1
480	2	10898	1
480	3	11774	0
480	4	12277	0
480	5	13109	0
480	6	10417	1
480	7	12659	0
480	8	12358	0
480	9	13057	0
480	10	12294	0
488	1	11769	0
488	2	12583	0
488	3	11459	0
488	4	9924	1
488	5	12329	0
488	6	10671	1
488	7	13572	0
488	8	12450	0
488	9	10090	1
488	10	12655	0
496	1	12728	0
496	2	12738	0
496	3	10068	1
496	4	12903	0
496	5	13738	0
496	6	12426	0
496	7	12969	0
496	8	13147	0
496	9	12387	0
496	10	12628	0
504	1	12614	0
504	2	12340	0
504	3	12991	0
504	4	12494	0
504	5	11109	1
504	6	12367	0
504	7	13970	0
504	8	13314	0
504	9	12440	0
504	10	13537	0
512	1	13803	0
512	2	13602	0
512	3	12469	0
512	4	11391	1
512	5	13020	0
512	6	13309	0
512	7	12937	0
512	8	12968	0
512	9	12945	0
512	10	14471	0
520	1	11004	1
520	2	13825	0
520	3	14002	0
520	4	13640	0
520	5	13579	0
520	6	14103	0
520	7	13791	0
520	8	13940	0
520	9	13043	0
520	10	9985	1
528	1	13606	0
528	2	13405	0
528	3	12765	0
528	4	11147	1
528	5	12919	0
528	6	13851	0
528	7	12261	1
528	8	9844	1
528	9	14761	0
528	10	9516	1
536	1	13245	0
536	2	12960	0
536	3	13027	0
536	4	12514	1
536	5	13718	1
536	6	9102	1
536	7	11382	1
536	8	10789	1
536	9	13820	0
536	10	14956	0
544	1	14541	0
544	2	14696	0
544	3	14754	0
544	4	9893	1
544	5	13806	0
544	6	14533	0
544	7	13255	0
544	8	13689	0
544	9	13870	0
544	10	14571	0
552	1	11350	1
552	2	13428	0
552	3	11286	1
552	4	14137	0
552	5	11972	1
552	6	12951	0
552	7	13329	0
552	8	14163	0
552	9	14116	0
552	10	12426	1
560	1	15018	0
560	2	11068	1
560	3	13794	0
560	4	14595	0
560	5	14756	0
560	6	14002	0
560	7	14469	0
560	8	14997	0
560	9	10213	1
560	10	10306	1
568	1	14242	0
568	2	14797	0
568	3	15262	0
568	4	13470	1
568	5	11013	1
568	6	14694	0
568	7	13938	0
568	8	14333	0
568	9	14888	0
568	10	14457	0
576	1	15607	0
576	2	14452	0
576	3	14735	0
576	4	14649	0
576	5	14896	0
576	6	15125	0
576	7	11174	1
576	8	15036	0
576	9	13374	1
576	10	15282	0
584	1	15376	0
584	2	14722	0
584	3	14918	0
584	4	10305	1
584	5	14255	0
584	6	16958	0
584	7	11387	1
584	8	14123	0
584	9	11632	1
584	10	15860	0
592	1	15255	0
592	2	15192	0
592	3	15036	0
592	4	15941	0
592	5	14060	0
592	6	13784	1
592	7	11034	1
592	8	14874	0
592	9	15012	0
592	10	13703	1
600	1	15713	0
600	2	16357	0
600	3	10733	1
600	4	15375	0
600	5	14195	0
600	6	14817	1
600	7	15133	1
600	8	16140	0
600	9	15769	0
600	10	12976	1
608	1	16147	0
608	2	16011	0
608	3	15456	0
608	4	15878	0
608	5	15425	0
608	6	16157	0
608	7	16260	0
608	8	15595	0
608	9	16986	0
608	10	16122	0
616	1	13049	1
616	2	14529	1
616	3	14961	1
616	4	15771	0
616	5	13274	1
616	6	17874	0
616	7	15720	0
616	8	14859	0
616	9	15487	0
616	10	15428	0
624	1	12121	1
624	2	17145	0
624	3	13864	1
624	4	15329	0
624	5	14815	0
624	6	16042	0
624	7	13579	1
624	8	16067	0
624	9	15224	0
624	10	16419	0
632	1	14913	1
632	2	15471	0
632	3	15197	1
632	4	15780	1
632	5	16516	0
632	6	16354	0
632	7	16137	0
632	8	17085	0
632	9	15663	0
632	10	16199	0
640	1	11198	1
640	2	15456	1
640	3	16609	0
640	4	16432	0
640	5	12792	1
640	6	16628	0
640	7	15311	1
640	8	17754	0
640	9	16877	0
640	10	16872	0
648	1	12336	1
648	2	15818	1
648	3	10523	1
648	4	11778	1
648	5	17024	0
648	6	17063	0
648	7	12477	1
648	8	15158	1
648	9	17304	0
648	10	17074	0
656	1	17444	0
656	2	14179	1
656	3	17951	0
656	4	17083	0
656	5	14930	1
656	6	17298	0
656	7	17373	0
656	8	18395	0
656	9	15022	1
656	10	16661	0
664	1	17057	0
664	2	17934	0
664	3	16944	0
664	4	17404	0
664	5	17113	0
664	6	18128	0
664	7	15001	1
664	8	14777	1
664	9	12368	1
664	10	18782	0
672	1	18331	0
672	2	17963	0
672	3	18475	0
672	4	12618	1
672	5	11934	1
672	6	16224	1
672	7	18015	0
672	8	18397	0
672	9	18392	0
672	10	19106	0
680	1	16151	1
680	2	13310	1
680	3	18705	0
680	4	18062	1
680	5	17580	0
680	6	16084	0
680	7	16737	1
680	8	17906	0
680	9	17338	0
680	10	18153	0
688	1	18650	0
688	2	13291	1
688	3	17765	0
688	4	17754	1
688	5	17472	0
688	6	18539	0
688	7	16445	1
688	8	11788	1
688	9	18721	0
688	10	17018	0
696	1	17561	0
696	2	15116	1
696	3	18531	0
696	4	17264	0
696	5	16740	1
696	6	19034	0
696	7	16195	1
696	8	16720	1
696	9	17605	0
696	10	17279	0
704	1	19319	0
704	2	21040	0
704	3	19005	0
704	4	18760	0
704	5	18466	0
704	6	20135	0
704	7	17138	1
704	8	19367	0
704	9	19257	0
704	10	17801	0
712	1	18919	0
712	2	18636	0
712	3	19492	0
712	4	13661	1
712	5	19124	0
712	6	19267	0
712	7	14991	1
712	8	18006	0
712	9	18238	0
712	10	18731	0
720	1	16867	1
720	2	19799	0
720	3	13632	1
720	4	18425	0
720	5	19041	0
720	6	20452	0
720	7	18422	1
720	8	17805	0
720	9	18684	0
720	10	14667	1
728	1	13708	1
728	2	19512	0
728	3	19537	0
728	4	19486	0
728	5	19505	0
728	6	18460	0
728	7	19025	0
728	8	18225	0
728	9	18476	0
728	10	18692	0
736	1	14322	1
736	2	20153	0
736	3	19017	0
736	4	15556	1
736	5	19387	0
736	6	18065	1
736	7	14494	1
736	8	20826	0
736	9	19684	0
736	10	19758	0
744	1	15540	1
744	2	19898	0
744	3	19782	0
744	4	18688	0
744	5	19759	0
744	6	19277	0
744	7	19477	0
744	8	17962	1
744	9	14123	1
744	10	20272	0
752	1	19628	0
752	2	20994	0
752	3	21067	0
752	4	20253	0
752	5	19930	0
752	6	13769	1
752	7	14910	1
752	8	20303	1
752	9	14916	1
752	10	19374	0
760	1	20990	0
760	2	20168	0
760	3	17949	0
760	4	20315	0
760	5	20033	0
760	6	18911	0
760	7	19129	0
760	8	20336	0
760	9	15023	1
760	10	20507	0
768	1	19378	0
768	2	19384	0
768	3	19718	0
768	4	16200	1
768	5	20501	0
768	6	19696	0
768	7	15323	1
768	8	19095	1
768	9	20640	0
768	10	21050	0
776	1	17232	1
776	2	17675	1
776	3	17207	1
776	4	16378	1
776	5	20139	0
776	6	19757	0
776	7	20841	0
776	8	18545	0
776	9	21145	0
