length	run	comparisons	blacklistings
8	1	64	0
8	2	52	0
8	3	68	0
8	4	67	0
8	5	65	0
8	6	68	0
8	7	63	0
8	8	82	0
8	9	57	0
8	10	67	0
16	1	186	0
16	2	139	0
16	3	186	0
16	4	182	0
16	5	183	0
16	6	168	0
16	7	185	0
16	8	160	0
16	9	154	0
16	10	201	0
24	1	290	0
24	2	350	0
24	3	290	0
24	4	327	0
24	5	236	0
24	6	239	0
24	7	288	0
24	8	305	0
24	9	296	0
24	10	221	0
32	1	432	0
32	2	389	1
32	3	413	0
32	4	421	0
32	5	374	0
32	6	382	0
32	7	429	0
32	8	322	0
32	9	427	0
32	10	447	0
40	1	518	0
40	2	490	0
40	3	444	0
40	4	466	0
40	5	480	0
40	6	566	0
40	7	502	0
40	8	552	0
40	9	525	0
40	10	473	0
48	1	617	0
48	2	684	0
48	3	748	0
48	4	568	0
48	5	566	0
48	6	609	0
48	7	763	0
48	8	634	0
48	9	734	0
48	10	659	0
56	1	799	0
56	2	913	0
56	3	810	0
56	4	881	0
56	5	905	0
56	6	727	0
56	7	791	0
56	8	799	0
56	9	778	0
56	10	904	0
64	1	965	0
64	2	833	0
64	3	889	0
64	4	808	0
64	5	921	0
64	6	1029	0
64	7	1035	0
64	8	894	0
64	9	907	0
64	10	922	0
72	1	1017	0
72	2	993	1
72	3	1020	1
72	4	1095	0
72	5	1152	0
72	6	1259	0
72	7	1033	0
72	8	1046	0
72	9	980	0
72	10	1193	0
80	1	1274	0
80	2	1165	0
80	3	1143	0
80	4	1236	0
80	5	1141	0
80	6	1210	0
80	7	1166	1
80	8	1259	0
80	9	1215	0
80	10	1162	1
88	1	1152	1
88	2	1195	1
88	3	1274	0
88	4	1257	0
88	5	1416	0
88	6	1264	0
88	7	1269	0
88	8	1304	0
88	9	1064	1
88	10	1433	0
96	1	1525	0
96	2	1482	0
96	3	1433	0
96	4	1311	1
96	5	1564	0
96	6	1439	0
96	7	1518	1
96	8	1564	0
96	9	1766	0
96	10	1326	0
104	1	1635	0
104	2	1591	0
104	3	1689	0
104	4	1718	0
104	5	1728	0
104	6	1642	0
104	7	1683	0
104	8	1561	0
104	9	1560	0
104	10	1711	0
