length	run	comparisons	blacklistings
8	1	53	0
8	2	67	0
8	3	62	0
8	4	42	0
8	5	63	0
8	6	59	0
8	7	59	0
8	8	53	0
8	9	74	0
8	10	60	0
16	1	182	0
16	2	183	0
16	3	156	0
16	4	191	0
16	5	185	0
16	6	177	0
16	7	171	0
16	8	171	0
16	9	142	0
16	10	175	0
24	1	288	0
24	2	281	0
24	3	272	0
24	4	243	0
24	5	251	0
24	6	242	0
24	7	222	0
24	8	364	0
24	9	304	0
24	10	226	0
32	1	442	0
32	2	401	0
32	3	436	0
32	4	435	0
32	5	417	0
32	6	500	0
32	7	461	0
32	8	455	0
32	9	361	0
32	10	381	0
40	1	573	0
40	2	626	0
40	3	490	0
40	4	596	0
40	5	530	0
40	6	581	0
40	7	658	0
40	8	572	0
40	9	561	0
40	10	494	1
48	1	549	0
48	2	719	0
48	3	556	0
48	4	778	0
48	5	633	0
48	6	605	0
48	7	679	0
48	8	797	0
48	9	701	0
48	10	751	0
56	1	955	0
56	2	828	1
56	3	742	0
56	4	652	0
56	5	858	0
56	6	816	0
56	7	832	0
56	8	939	0
56	9	900	0
56	10	708	0
64	1	911	0
64	2	915	0
64	3	850	1
64	4	975	0
64	5	928	0
64	6	943	0
64	7	831	0
64	8	934	0
64	9	783	0
64	10	919	0
72	1	1241	0
72	2	1267	0
72	3	962	0
72	4	1329	0
72	5	1220	0
72	6	1000	0
72	7	1206	1
72	8	1147	0
72	9	1098	0
72	10	1153	0
80	1	1082	0
80	2	1397	0
80	3	1013	1
80	4	1138	0
80	5	1253	0
80	6	1281	0
80	7	1452	0
80	8	1437	0
80	9	1301	0
80	10	1438	0
88	1	1435	0
88	2	1486	0
88	3	1544	0
88	4	1332	0
88	5	1510	1
88	6	1328	1
88	7	1440	0
88	8	1283	0
88	9	1446	0
88	10	1356	0
96	1	1248	1
96	2	1552	0
96	3	1423	1
96	4	1516	0
96	5	1631	0
96	6	1583	0
96	7	1404	0
96	8	1512	0
96	9	1539	0
96	10	1427	0
104	1	1650	0
104	2	1741	0
104	3	1736	0
104	4	1646	0
104	5	1681	0
104	6	1669	0
104	7	1765	0
104	8	1801	0
104	9	1711	1
104	10	1819	0
112	1	1844	0
112	2	1812	0
112	3	1771	0
112	4	1674	1
112	5	2026	0
112	6	1440	0
112	7	1742	1
112	8	1600	1
112	9	1509	0
112	10	1756	1
120	1	1870	1
120	2	1877	0
120	3	1760	1
120	4	1927	0
120	5	1998	0
120	6	1881	1
120	7	2167	0
120	8	2076	0
120	9	1924	1
120	10	1760	0
128	1	2042	0
128	2	1957	1
128	3	2231	0
128	4	2104	0
128	5	2128	0
128	6	1663	1
128	7	1874	1
128	8	2323	0
128	9	2018	0
128	10	2053	0
136	1	2554	1
136	2	1965	1
136	3	2309	0
136	4	1811	1
136	5	1850	1
136	6	2155	1
136	7	2686	0
136	8	2348	0
136	9	2161	1
136	10	2007	1
144	1	2522	1
144	2	2673	0
144	3	1978	1
144	4	2579	0
144	5	2605	0
144	6	2105	1
144	7	2433	1
144	8	2099	1
144	9	2725	1
144	10	2575	1
152	1	2257	1
152	2	2742	0
152	3	2646	0
152	4	2267	1
152	5	2749	0
152	6	2692	0
152	7	2693	0
152	8	2661	0
152	9	2384	1
152	10	2579	0
160	1	2662	0
160	2	3111	0
160	3	2982	0
160	4	2550	0
160	5	2686	1
160	6	2934	0
160	7	2759	0
160	8	2953	0
160	9	2459	1
160	10	2552	1
168	1	2621	0
168	2	2399	1
168	3	2894	0
168	4	2878	0
168	5	3031	0
168	6	3123	0
168	7	3140	0
168	8	2705	1
168	9	3105	0
168	10	2917	0
176	1	3328	0
176	2	3003	0
176	3	2838	0
176	4	2710	1
176	5	2960	0
176	6	2718	1
176	7	2977	0
176	8	2747	1
176	9	3138	0
176	10	2616	1
184	1	2802	0
184	2	2785	1
184	3	2743	1
184	4	2918	1
184	5	2711	1
184	6	2943	1
184	7	3387	0
184	8	3173	0
184	9	3144	1
184	10	3359	0
192	1	2881	1
192	2	3121	0
192	3	3638	0
192	4	2828	1
192	5	3126	1
192	6	3272	1
192	7	3391	0
192	8	3549	1
192	9	3516	1
192	10	2786	1
200	1	3484	0
200	2	3369	0
200	3	3590	0
200	4	2886	1
200	5	3430	1
200	6	2881	1
200	7	3403	0
200	8	3720	1
200	9	3605	1
200	10	3297	1
208	1	3799	0
208	2	3701	0
208	3	3679	0
208	4	4030	0
208	5	2984	1
208	6	3817	0
208	7	3213	1
208	8	4143	0
208	9	3121	1
208	10	3868	0
216	1	3866	1
216	2	3919	1
216	3	3605	1
216	4	3276	1
216	5	3744	0
216	6	3778	1
216	7	3700	0
216	8	4016	0
216	9	4161	1
216	10	3708	1
224	1	4444	0
224	2	3705	1
224	3	3787	1
224	4	4209	1
224	5	4356	0
224	6	3859	1
224	7	4004	0
