length	run	comparisons	blacklistings
8	1	72	0
8	2	67	0
8	3	59	0
8	4	55	0
8	5	48	0
8	6	53	0
8	7	56	0
8	8	61	0
8	9	57	0
8	10	60	0
16	1	150	0
16	2	172	0
16	3	127	0
16	4	191	0
16	5	186	0
16	6	169	0
16	7	176	0
16	8	129	0
16	9	169	0
16	10	175	0
24	1	325	0
24	2	296	0
24	3	294	0
24	4	298	0
24	5	342	0
24	6	301	0
24	7	329	0
24	8	302	0
24	9	285	0
24	10	308	0
32	1	491	0
32	2	483	0
32	3	514	0
32	4	439	0
32	5	467	0
32	6	433	0
32	7	464	0
32	8	505	0
32	9	468	0
32	10	466	0
40	1	589	0
40	2	546	0
40	3	617	0
40	4	643	0
40	5	622	0
40	6	683	0
40	7	567	0
40	8	507	0
40	9	592	0
40	10	667	0
48	1	692	0
48	2	639	0
48	3	750	0
48	4	760	0
48	5	750	0
48	6	760	0
48	7	615	0
48	8	799	0
48	9	686	0
48	10	738	0
56	1	813	0
56	2	1035	0
56	3	849	0
56	4	896	0
56	5	924	0
56	6	927	0
56	7	1069	0
56	8	894	0
56	9	983	0
56	10	903	0
64	1	1161	0
64	2	1170	0
64	3	1203	0
64	4	1098	0
64	5	1080	0
64	6	1011	0
64	7	1103	0
64	8	1088	0
64	9	1107	0
64	10	1176	0
72	1	1343	0
72	2	1172	0
72	3	1304	0
72	4	1127	1
72	5	1307	0
72	6	1250	0
72	7	1384	0
72	8	1464	0
72	9	1189	0
72	10	1393	0
80	1	1437	0
80	2	1549	0
80	3	1393	0
80	4	1535	0
80	5	1536	0
80	6	1464	0
80	7	1354	0
80	8	1638	0
80	9	1429	1
80	10	1588	0
88	1	1629	0
88	2	1578	0
88	3	1658	0
88	4	1586	0
88	5	1740	0
88	6	1705	0
88	7	1717	0
88	8	1790	0
88	9	1670	0
88	10	1752	0
96	1	1935	0
96	2	1836	0
96	3	2078	0
96	4	1648	0
96	5	1849	0
96	6	2108	0
96	7	1971	0
96	8	1906	0
96	9	1632	0
96	10	1475	1
104	1	1721	0
104	2	2221	0
104	3	2086	0
104	4	1732	0
104	5	2142	0
104	6	1835	0
104	7	2168	0
104	8	2064	0
104	9	2006	0
104	10	2146	0
112	1	2026	0
112	2	2335	0
112	3	2403	0
112	4	2065	0
112	5	2241	0
112	6	2209	0
112	7	1927	0
112	8	2326	0
112	9	2150	0
112	10	2009	0
120	1	2607	0
120	2	2258	0
120	3	2250	0
120	4	2393	0
120	5	2198	0
120	6	2330	0
120	7	2357	0
120	8	2399	0
120	9	2293	0
120	10	2041	0
128	1	2438	0
128	2	2227	1
128	3	2610	0
128	4	2476	0
128	5	2010	1
128	6	2541	0
128	7	2685	0
128	8	2713	0
128	9	2510	0
128	10	2456	0
136	1	2837	0
136	2	3051	0
136	3	2671	0
136	4	2679	0
136	5	1995	1
136	6	2430	0
136	7	2396	0
136	8	2891	0
136	9	2671	0
136	10	2907	0
144	1	2877	0
144	2	2668	1
144	3	3220	0
144	4	2508	1
144	5	2691	0
144	6	2862	0
144	7	2799	0
144	8	3182	0
144	9	3057	0
144	10	2276	1
152	1	3237	0
152	2	3331	0
152	3	3251	0
152	4	3209	0
152	5	3367	0
152	6	2900	0
152	7	3132	0
152	8	3530	0
152	9	2922	0
152	10	3292	0
160	1	2879	0
160	2	3593	0
160	3	3068	0
160	4	3324	0
160	5	3458	0
160	6	3058	0
160	7	3048	1
160	8	2967	1
160	9	3273	0
160	10	3499	0
168	1	2808	1
168	2	3509	0
168	3	3605	0
168	4	3622	0
168	5	3619	0
168	6	3826	0
168	7	3390	0
168	8	3327	0
168	9	3274	0
168	10	3475	0
176	1	3654	0
176	2	3720	0
176	3	3613	0
176	4	3571	0
176	5	3763	0
176	6	3801	0
176	7	3791	0
176	8	3269	1
176	9	3847	1
176	10	3947	0
184	1	3988	0
184	2	3426	0
184	3	3938	0
184	4	3630	0
184	5	4111	0
184	6	3936	0
184	7	3512	0
184	8	4311	0
184	9	3629	0
184	10	3743	0
192	1	4019	0
192	2	4106	0
192	3	4340	0
192	4	3911	0
192	5	4227	0
192	6	4316	0
192	7	4180	0
192	8	3717	0
192	9	3388	1
192	10	4069	0
200	1	4129	0
200	2	4087	1
200	3	3570	1
200	4	4237	0
200	5	4616	0
200	6	4191	0
200	7	4042	0
200	8	4794	0
200	9	4426	1
200	10	4911	0
208	1	4439	0
208	2	4659	0
208	3	4522	0
208	4	4719	0
208	5	4836	0
208	6	3927	1
208	7	4120	0
208	8	4332	0
208	9	4445	0
208	10	4302	0
216	1	5301	0
216	2	4568	1
216	3	4331	0
216	4	4604	0
216	5	4559	0
216	6	4729	0
216	7	4631	0
216	8	4458	0
216	9	4301	1
216	10	3962	1
224	1	4681	0
224	2	4267	1
224	3	4656	0
224	4	3853	1
224	5	4550	0
224	6	4576	0
224	7	4234	1
224	8	5160	0
224	9	5566	0
224	10	4821	0
232	1	4924	0
232	2	4860	0
232	3	4571	0
232	4	5452	0
232	5	5315	0
232	6	5079	0
232	7	4869	0
232	8	4922	0
232	9	5108	0
232	10	5148	0
240	1	5265	0
240	2	5188	0
240	3	4884	0
240	4	5253	0
240	5	4980	0
240	6	5134	0
240	7	5053	0
240	8	5152	0
240	9	4962	0
240	10	4210	1
248	1	4197	1
248	2	5619	0
248	3	5926	0
248	4	5280	0
248	5	4949	0
248	6	4429	1
248	7	5835	0
248	8	5027	0
248	9	5462	0
248	10	4600	1
256	1	5808	0
256	2	5644	0
256	3	5744	0
256	4	5356	0
256	5	5520	0
256	6	5184	1
256	7	5259	0
256	8	5955	0
256	9	5832	0
256	10	5140	1
264	1	4841	1
264	2	4344	1
264	3	5477	0
264	4	4507	1
264	5	5626	0
264	6	6165	0
264	7	5380	1
264	8	5964	0
264	9	5695	0
264	10	5445	0
272	1	5849	0
272	2	5736	0
272	3	5792	0
272	4	5119	1
272	5	6649	0
272	6	5444	1
272	7	5897	0
272	8	5350	1
272	9	6053	0
272	10	5717	0
280	1	5886	0
280	2	6114	0
280	3	5874	0
280	4	5916	0
280	5	5939	0
280	6	6183	0
280	7	6180	0
280	8	5942	0
280	9	6324	0
280	10	5778	0
288	1	6066	0
288	2	6349	0
288	3	6617	0
288	4	6206	0
288	5	5783	0
288	6	6242	0
288	7	6423	0
288	8	5919	0
288	9	6232	0
288	10	6563	0
296	1	5571	1
296	2	6943	0
296	3	6467	0
296	4	5801	1
296	5	6811	0
296	6	5622	1
296	7	6400	0
296	8	6185	0
296	9	5288	1
296	10	6207	1
304	1	6631	0
304	2	6346	0
304	3	6067	1
304	4	5501	1
304	5	7168	0
304	6	6648	0
304	7	6897	0
304	8	7495	0
304	9	6629	0
304	10	5444	1
312	1	7404	0
312	2	7278	0
312	3	5776	1
312	4	7291	0
312	5	5082	1
312	6	6828	0
312	7	7064	0
312	8	5901	1
312	9	6205	0
312	10	7008	0
320	1	6745	0
320	2	6908	0
320	3	7205	0
320	4	7683	0
320	5	7668	0
320	6	7150	0
320	7	6919	0
320	8	7732	0
320	9	6778	0
320	10	6847	1
328	1	5931	1
328	2	6056	1
328	3	5232	1
328	4	8213	0
328	5	7228	0
328	6	7532	0
328	7	7097	1
328	8	7096	1
328	9	6965	0
328	10	5762	1
336	1	7664	0
336	2	7987	0
336	3	7286	0
336	4	7463	0
336	5	7365	0
336	6	6725	1
336	7	7940	0
336	8	7281	1
336	9	7723	0
336	10	6870	0
344	1	7876	0
344	2	7784	0
344	3	7047	0
344	4	7817	0
344	5	7025	1
344	6	7967	0
344	7	7417	0
344	8	7091	0
344	9	6298	1
344	10	7771	0
352	1	7946	1
352	2	8314	0
352	3	8255	0
352	4	7916	0
352	5	7680	0
352	6	7553	1
352	7	8395	0
352	8	5513	1
352	9	7829	0
352	10	8664	0
360	1	8183	0
360	2	7765	1
360	3	7416	1
360	4	7877	0
360	5	8113	0
360	6	8874	0
360	7	7984	0
360	8	6934	1
360	9	8128	0
360	10	5880	1
368	1	8026	0
368	2	8203	0
368	3	6681	1
368	4	7974	0
368	5	7995	0
368	6	8674	0
368	7	8691	0
368	8	8625	0
368	9	8707	0
368	10	8607	0
376	1	8182	0
376	2	8872	0
376	3	7194	1
376	4	7849	0
376	5	7729	1
376	6	8552	0
376	7	8060	0
376	8	8841	0
376	9	8394	0
376	10	6455	1
384	1	8169	0
384	2	8455	0
384	3	8473	0
384	4	7683	1
384	5	9178	0
384	6	9272	0
384	7	8301	0
384	8	9478	0
384	9	9113	0
384	10	9187	0
392	1	8281	1
392	2	9290	0
392	3	8780	0
392	4	8027	1
392	5	9547	0
392	6	9408	0
392	7	7536	1
392	8	9318	0
392	9	9004	0
392	10	9496	0
400	1	9081	0
400	2	9004	0
400	3	8876	0
400	4	7710	1
400	5	9426	0
400	6	8707	0
400	7	8349	0
400	8	9885	0
400	9	7113	1
400	10	8461	1
408	1	6930	1
408	2	8974	0
408	3	8995	0
408	4	9067	1
408	5	8808	0
408	6	9605	0
408	7	7718	1
408	8	9163	0
408	9	8549	1
408	10	9071	0
416	1	9565	0
416	2	9567	1
416	3	9016	0
416	4	8816	1
416	5	10214	0
416	6	8446	1
416	7	8626	1
416	8	10007	0
416	9	8390	1
416	10	9353	0
424	1	9145	0
424	2	9153	0
424	3	7948	1
424	4	9520	0
424	5	9529	0
424	6	9574	0
424	7	7510	1
424	8	9355	0
424	9	9479	0
424	10	7970	1
432	1	9896	0
432	2	9575	0
432	3	8815	1
432	4	10130	0
432	5	8086	1
432	6	9682	0
432	7	9303	0
432	8	10285	0
432	9	10466	0
432	10	10010	0
440	1	8714	1
440	2	8829	1
440	3	7788	1
440	4	9328	1
440	5	10385	0
440	6	7590	1
440	7	10235	0
440	8	9751	0
440	9	7912	1
