length	run	comparisons	blacklistings
8	1	61	0
8	2	59	0
8	3	55	0
8	4	69	0
8	5	68	0
8	6	74	0
8	7	65	0
8	8	50	0
8	9	49	0
8	10	63	0
16	1	145	0
16	2	179	0
16	3	169	0
16	4	149	0
16	5	179	0
16	6	159	0
16	7	166	0
16	8	177	0
16	9	181	0
16	10	158	0
24	1	266	0
24	2	288	0
24	3	309	0
24	4	312	0
24	5	268	0
24	6	286	0
24	7	268	0
24	8	298	0
24	9	212	0
24	10	272	0
32	1	368	0
32	2	450	0
32	3	391	0
32	4	375	0
32	5	458	0
32	6	416	0
32	7	380	0
32	8	415	0
32	9	486	0
32	10	373	0
40	1	575	0
40	2	509	0
40	3	620	0
40	4	524	0
40	5	546	0
40	6	509	0
40	7	574	0
40	8	589	0
40	9	558	0
40	10	531	0
48	1	754	0
48	2	657	0
48	3	732	0
48	4	566	0
48	5	681	0
48	6	731	0
48	7	665	0
48	8	753	0
48	9	747	0
48	10	702	0
56	1	827	0
56	2	874	0
56	3	789	0
56	4	736	0
56	5	701	0
56	6	830	0
56	7	945	0
56	8	887	0
56	9	745	0
56	10	840	0
64	1	935	0
64	2	899	1
64	3	867	0
64	4	874	0
64	5	1028	0
64	6	945	0
64	7	1055	0
64	8	991	0
64	9	971	0
64	10	1049	0
72	1	1097	1
72	2	1337	0
72	3	1154	0
72	4	1013	0
72	5	1070	0
72	6	1149	0
72	7	1057	0
72	8	1147	0
72	9	1131	0
72	10	1224	0
80	1	1139	0
80	2	944	0
80	3	1155	0
80	4	1308	0
80	5	1350	0
80	6	1152	0
80	7	1198	0
80	8	1117	0
80	9	1185	0
80	10	999	0
88	1	1293	0
88	2	1458	0
88	3	1040	1
88	4	1400	0
88	5	1375	0
88	6	1209	0
88	7	1384	0
88	8	1496	0
88	9	1387	1
88	10	1331	0
96	1	1566	0
96	2	1330	1
96	3	1637	0
96	4	1447	0
96	5	1486	0
96	6	1582	0
96	7	1552	0
96	8	1639	0
96	9	1604	0
96	10	1600	0
104	1	1597	1
104	2	1725	0
104	3	1874	0
104	4	1580	0
104	5	1693	0
104	6	1550	0
104	7	1763	0
104	8	1530	0
104	9	1656	0
104	10	1599	0
112	1	1858	1
112	2	1678	0
112	3	1831	0
112	4	1723	0
112	5	1762	1
112	6	1744	0
112	7	1749	0
112	8	1686	0
112	9	1716	0
112	10	1889	0
120	1	1958	0
120	2	1817	1
120	3	1720	1
120	4	1917	0
120	5	1756	1
120	6	2047	1
120	7	1947	0
120	8	2082	0
120	9	1783	0
120	10	1817	1
128	1	2243	0
128	2	1719	1
128	3	1878	1
128	4	1818	1
128	5	1926	0
128	6	2206	0
128	7	1546	1
128	8	2038	0
128	9	1788	1
128	10	1998	1
136	1	2305	0
136	2	2338	1
136	3	2048	1
136	4	2294	0
136	5	2402	0
136	6	1960	1
136	7	2140	0
136	8	2439	0
136	9	2465	0
136	10	2049	1
144	1	1918	1
144	2	2224	1
144	3	2511	0
144	4	1775	1
144	5	2136	1
144	6	2265	0
144	7	2664	0
144	8	2019	1
144	9	2479	1
144	10	2229	0
152	1	2301	1
152	2	2467	0
152	3	2595	0
152	4	2197	1
152	5	2748	0
152	6	2057	1
152	7	2054	1
152	8	2660	0
152	9	2160	1
152	10	2657	0
160	1	2910	0
160	2	2539	1
160	3	2447	0
160	4	2982	0
160	5	2131	1
160	6	2384	1
160	7	2749	0
160	8	2443	1
160	9	2722	0
160	10	2579	0
168	1	3195	0
168	2	2661	0
168	3	2582	0
168	4	2544	1
168	5	3248	0
168	6	2450	1
168	7	2786	1
168	8	2411	1
168	9	2853	1
168	10	2621	1
176	1	2684	0
176	2	2589	1
176	3	3080	0
176	4	2973	0
176	5	2713	1
176	6	2775	1
176	7	2781	1
176	8	3106	0
176	9	2572	1
176	10	2540	1
184	1	2854	1
184	2	3061	0
184	3	3701	0
184	4	2646	1
184	5	3419	0
184	6	3041	0
184	7	2835	0
184	8	3199	1
184	9	2415	1
184	10	3110	0
192	1	2981	1
192	2	3204	1
192	3	3588	0
192	4	2851	1
192	5	2773	1
192	6	3080	1
192	7	3565	0
192	8	3282	1
192	9	2765	1
192	10	3598	0
200	1	3667	0
200	2	3131	1
200	3	3191	1
200	4	3581	0
200	5	3803	0
200	6	3728	0
200	7	2939	1
200	8	3605	0
200	9	3983	0
200	10	2676	1
208	1	3312	0
208	2	3383	0
208	3	3383	1
208	4	3644	0
208	5	3730	0
208	6	2901	1
208	7	3207	1
208	8	3376	1
208	9	3405	1
208	10	3341	1
216	1	3365	1
216	2	2927	1
216	3	3101	1
216	4	3304	1
216	5	3451	1
216	6	3082	1
216	7	4040	0
216	8	3789	0
216	9	3197	1
216	10	3520	1
224	1	3119	1
224	2	3311	1
224	3	4271	0
224	4	3317	1
224	5	3703	1
224	6	3310	1
224	7	4361	0
224	8	3224	1
224	9	3445	1
224	10	3293	1
232	1	3943	0
232	2	4638	0
232	3	4237	0
232	4	3689	1
232	5	3532	1
232	6	3178	1
232	7	3568	1
232	8	3624	1
232	9	4245	0
232	10	3845	1
240	1	4010	1
240	2	4583	1
240	3	3577	1
240	4	4077	1
240	5	4338	0
240	6	3523	1
240	7	4213	0
240	8	4100	1
240	9	4295	1
240	10	3627	1
248	1	4782	1
248	2	3704	1
248	3	4266	0
248	4	4311	0
248	5	3619	1
248	6	3906	1
248	7	3262	1
248	8	4472	0
248	9	3783	1
248	10	3825	1
256	1	4549	0
256	2	4363	1
256	3	4270	0
256	4	4456	0
256	5	5250	0
256	6	3799	1
256	7	4101	1
256	8	4769	0
256	9	3886	1
256	10	4278	0
264	1	4183	1
264	2	3650	1
264	3	3976	1
264	4	3565	1
264	5	4096	1
264	6	3864	1
264	7	4365	1
264	8	4319	1
264	9	4237	1
264	10	3781	1
272	1	4391	1
272	2	4417	1
272	3	4130	1
272	4	5290	0
272	5	4447	1
272	6	3791	1
272	7	4194	1
272	8	3515	1
272	9	4585	1
272	10	5193	0
280	1	3919	1
280	2	4737	0
280	3	5222	0
280	4	4345	1
280	5	4611	1
280	6	4008	1
280	7	4182	1
280	8	3743	1
280	9	4193	1
280	10	4032	1
288	1	4319	1
288	2	4188	1
288	3	4039	1
288	4	4033	1
288	5	4521	1
288	6	5517	1
288	7	4977	0
288	8	4078	1
288	9	5224	0
288	10	4379	1
296	1	4508	1
296	2	4433	1
296	3	4495	1
296	4	4735	1
296	5	4851	1
296	6	4639	1
296	7	4513	1
296	8	4306	1
296	9	4094	1
296	10	4330	1
304	1	5023	1
304	2	5558	0
304	3	4823	1
304	4	5424	1
304	5	4331	1
304	6	4520	1
304	7	4364	1
304	8	5016	1
304	9	4747	1
304	10	5122	0
312	1	5172	0
312	2	5427	0
312	3	4040	1
312	4	5132	1
312	5	4446	1
312	6	4760	1
312	7	4360	1
312	8	5443	1
312	9	5404	1
312	10	5050	1
320	1	4577	1
320	2	6051	0
320	3	4201	1
320	4	4640	1
320	5	4899	1
320	6	5462	1
320	7	4818	1
320	8	4817	1
320	9	5229	1
320	10	5538	0
328	1	4407	1
328	2	4862	1
328	3	5763	1
328	4	5658	1
328	5	5549	1
328	6	6831	0
328	7	4809	1
328	8	4762	1
328	9	4840	1
328	10	5140	1
336	1	5564	1
336	2	5144	1
336	3	4963	1
336	4	5141	1
336	5	6363	1
336	6	6211	0
336	7	6188	1
336	8	5456	1
336	9	5774	1
336	10	6344	1
344	1	4986	1
344	2	5570	1
344	3	5508	1
344	4	5218	1
344	5	6175	1
344	6	4701	1
344	7	5060	1
344	8	5809	1
344	9	5226	1
344	10	5339	1
352	1	5686	1
352	2	5795	1
352	3	5409	1
352	4	6185	0
352	5	7042	0
352	6	6209	1
352	7	5565	1
352	8	7279	0
352	9	5430	1
352	10	6066	1
360	1	5476	1
360	2	5344	1
360	3	5111	1
360	4	5446	1
360	5	5676	1
360	6	5490	1
360	7	5361	1
360	8	5876	1
360	9	5310	1
360	10	6053	1
368	1	6228	0
368	2	6417	1
368	3	6745	1
368	4	5427	1
368	5	5380	1
368	6	5791	1
368	7	5621	1
368	8	5400	1
368	9	4977	1
368	10	6352	0
376	1	5503	1
376	2	5724	1
376	3	5459	1
376	4	5884	1
376	5	5214	1
376	6	6083	1
376	7	5997	1
376	8	6203	1
376	9	6720	0
376	10	6121	1
384	1	7947	0
384	2	5517	1
384	3	7104	1
384	4	5103	1
384	5	6508	1
384	6	5803	1
384	7	5908	1
384	8	6029	1
