length	run	comparisons	blacklistings
8	1	52	0
8	2	57	0
8	3	61	0
8	4	63	0
8	5	65	0
8	6	65	0
8	7	64	0
8	8	59	0
8	9	49	0
8	10	56	0
16	1	186	0
16	2	151	0
16	3	184	0
16	4	186	0
16	5	160	0
16	6	179	0
16	7	144	0
16	8	183	0
16	9	182	0
16	10	181	0
24	1	302	0
24	2	334	0
24	3	307	0
24	4	341	0
24	5	317	0
24	6	297	0
24	7	265	0
24	8	266	0
24	9	308	0
24	10	281	0
32	1	426	0
32	2	436	0
32	3	381	0
32	4	421	0
32	5	530	0
32	6	393	0
32	7	341	0
32	8	382	0
32	9	533	0
32	10	481	0
40	1	517	0
40	2	625	0
40	3	499	0
40	4	477	0
40	5	622	0
40	6	539	1
40	7	554	0
40	8	596	0
40	9	573	0
40	10	579	0
48	1	673	0
48	2	722	0
48	3	737	0
48	4	673	0
48	5	661	0
48	6	710	0
48	7	557	0
48	8	703	0
48	9	657	0
48	10	756	0
56	1	982	0
56	2	788	0
56	3	897	0
56	4	891	1
56	5	918	0
56	6	885	0
56	7	923	0
56	8	791	0
56	9	881	0
56	10	915	0
64	1	1085	0
64	2	1010	0
64	3	964	0
64	4	990	0
64	5	899	0
64	6	954	0
64	7	936	0
64	8	829	0
64	9	925	0
64	10	898	0
72	1	1122	0
72	2	1118	0
72	3	1151	0
72	4	1061	0
72	5	945	0
72	6	1196	0
72	7	1219	0
72	8	1198	0
72	9	1216	0
72	10	1109	0
80	1	1229	0
80	2	1306	0
80	3	1147	0
80	4	1324	0
80	5	1392	0
80	6	1099	0
80	7	1456	0
80	8	1292	0
80	9	1405	1
80	10	1235	0
88	1	1606	0
88	2	1667	0
88	3	1543	0
88	4	1491	0
88	5	1507	0
88	6	1475	0
88	7	1391	0
88	8	1569	0
88	9	1582	0
88	10	1500	0
96	1	1451	1
96	2	1443	0
96	3	1700	1
96	4	1326	1
96	5	1491	0
96	6	1565	0
96	7	1692	0
96	8	1673	0
96	9	1464	0
96	10	1584	0
104	1	1685	0
104	2	1725	1
104	3	1786	0
104	4	1741	0
104	5	1718	0
104	6	1644	0
104	7	1495	1
104	8	2127	0
104	9	1423	1
104	10	1781	0
112	1	2126	0
112	2	1653	1
112	3	2026	0
112	4	1860	0
112	5	1871	0
112	6	2042	0
112	7	1995	0
112	8	2000	0
112	9	1469	1
112	10	2057	0
120	1	2012	0
120	2	1996	0
120	3	2063	0
120	4	2067	0
120	5	2044	0
120	6	2049	0
120	7	2074	0
120	8	2091	0
120	9	2069	0
120	10	1986	0
128	1	2110	1
128	2	2213	0
128	3	2149	0
128	4	2228	0
128	5	1898	1
128	6	2304	0
128	7	2097	0
128	8	2217	0
128	9	2203	0
128	10	2018	0
136	1	2448	0
136	2	2334	0
136	3	2309	0
136	4	2370	0
136	5	2156	1
136	6	2298	0
136	7	2646	0
136	8	2133	1
136	9	2359	0
136	10	2439	0
144	1	2206	1
144	2	2682	0
144	3	2529	0
144	4	2423	1
144	5	1845	1
144	6	2570	0
144	7	2133	1
144	8	2417	1
144	9	2504	0
144	10	2629	0
152	1	2891	0
152	2	3048	0
152	3	2556	1
152	4	2461	1
152	5	2279	1
152	6	2491	1
152	7	2528	0
152	8	2529	0
152	9	2635	1
152	10	2874	0
160	1	2756	1
160	2	2775	1
160	3	2864	0
160	4	2599	1
160	5	2963	0
160	6	3108	1
160	7	2823	0
160	8	2744	0
160	9	2877	0
160	10	2866	0
168	1	2777	1
168	2	2979	0
168	3	3019	0
168	4	3258	0
168	5	2535	1
168	6	3055	0
168	7	2653	1
168	8	2915	0
168	9	3238	0
168	10	3216	0
176	1	3104	1
176	2	3464	0
176	3	3005	0
176	4	3189	0
176	5	3364	0
176	6	3151	0
176	7	3064	0
176	8	3598	0
176	9	2826	1
176	10	3066	0
184	1	2760	1
184	2	3500	0
184	3	2748	1
184	4	3713	0
184	5	3220	1
184	6	3496	0
184	7	3517	0
184	8	3222	1
184	9	2950	1
184	10	3312	0
192	1	3552	0
192	2	3422	1
192	3	3649	0
192	4	3804	0
192	5	3277	1
192	6	3593	0
192	7	3038	1
192	8	3463	1
192	9	3123	1
192	10	3622	0
200	1	3482	0
200	2	3291	1
200	3	3587	0
200	4	3097	1
200	5	3368	1
200	6	2776	1
200	7	3300	1
200	8	3800	0
200	9	3479	0
200	10	3478	0
208	1	3806	0
208	2	3826	0
208	3	3748	1
208	4	3900	1
208	5	3919	0
208	6	3974	0
208	7	3473	1
208	8	3247	1
208	9	3536	1
208	10	3641	0
216	1	4066	0
216	2	3876	0
216	3	4012	1
216	4	4175	0
216	5	4078	0
216	6	3280	1
216	7	4488	0
216	8	3326	1
216	9	3931	0
216	10	3465	1
224	1	3835	0
224	2	3686	1
224	3	3849	1
224	4	4119	1
224	5	3911	0
224	6	4430	0
224	7	4234	1
224	8	3519	1
224	9	3639	1
224	10	4362	0
232	1	3881	1
232	2	4201	0
232	3	4317	0
232	4	4559	0
232	5	4110	0
232	6	4485	0
232	7	3980	1
232	8	4179	0
232	9	4336	1
232	10	4179	1
240	1	4616	0
240	2	4182	0
240	3	4964	0
240	4	4447	1
240	5	4268	1
240	6	3599	1
240	7	4484	0
240	8	4293	0
240	9	4182	1
240	10	4798	0
248	1	4769	1
248	2	4606	1
248	3	4519	1
248	4	4325	1
248	5	4923	0
248	6	4689	0
248	7	4328	0
248	8	4224	1
248	9	4729	0
248	10	4103	1
256	1	4351	1
256	2	4375	1
256	3	4581	0
256	4	4153	1
256	5	5212	0
256	6	4345	1
256	7	4299	1
256	8	4689	1
256	9	4087	1
256	10	5070	0
264	1	5276	0
264	2	4546	1
264	3	4160	1
264	4	4145	1
264	5	4906	0
264	6	4841	1
264	7	4565	1
264	8	5385	0
264	9	4711	1
264	10	4084	1
272	1	4960	1
272	2	4516	1
272	3	5849	0
272	4	4933	1
272	5	4994	0
272	6	4722	1
272	7	4866	1
272	8	5120	1
272	9	4835	0
272	10	5142	1
280	1	4326	1
280	2	5607	0
280	3	4152	1
280	4	5128	1
280	5	5848	0
280	6	4302	1
280	7	4744	1
280	8	4242	1
280	9	4511	1
280	10	4555	1
288	1	4732	1
288	2	5350	0
288	3	5027	1
288	4	5639	1
288	5	5341	0
288	6	5814	0
288	7	4912	1
288	8	6180	0
288	9	5956	0
288	10	5777	0
296	1	4392	1
296	2	4637	1
296	3	4776	1
296	4	4383	1
296	5	4422	1
296	6	5548	0
296	7	4559	1
296	8	4485	1
296	9	5777	0
296	10	4527	1
304	1	4580	1
304	2	6297	0
304	3	5656	0
304	4	5795	0
304	5	6050	1
304	6	6542	0
304	7	4986	1
304	8	4403	1
304	9	5072	1
304	10	4860	1
312	1	5255	1
312	2	5705	1
312	3	6191	0
312	4	4929	1
312	5	5223	1
312	6	5822	1
312	7	5751	0
