length	run	comparisons	blacklistings
8	1	51	0
8	2	39	0
8	3	51	0
8	4	48	0
8	5	44	0
8	6	45	0
8	7	42	0
8	8	51	0
8	9	45	0
8	10	51	0
16	1	162	0
16	2	144	0
16	3	147	0
16	4	156	0
16	5	155	0
16	6	144	0
16	7	144	0
16	8	149	0
16	9	162	0
16	10	159	0
24	1	285	0
24	2	273	0
24	3	251	0
24	4	283	0
24	5	279	0
24	6	296	0
24	7	274	0
24	8	289	0
24	9	287	0
24	10	284	0
32	1	421	0
32	2	445	0
32	3	448	0
32	4	432	0
32	5	445	0
32	6	447	0
32	7	437	0
32	8	427	0
32	9	395	0
32	10	417	0
40	1	594	0
40	2	557	0
40	3	625	0
40	4	577	0
40	5	535	0
40	6	613	0
40	7	587	0
40	8	628	0
40	9	625	0
40	10	596	0
48	1	714	0
48	2	752	0
48	3	765	0
48	4	772	0
48	5	753	0
48	6	740	0
48	7	807	0
48	8	735	0
48	9	766	0
48	10	797	0
56	1	936	0
56	2	971	0
56	3	971	0
56	4	911	0
56	5	925	0
56	6	981	0
56	7	964	0
56	8	935	0
56	9	926	0
56	10	940	0
64	1	1143	0
64	2	1144	0
64	3	1145	0
64	4	1136	0
64	5	1099	0
64	6	1141	0
64	7	1129	0
64	8	1066	0
64	9	1139	0
64	10	1060	0
72	1	1232	0
72	2	1298	0
72	3	1281	0
72	4	1283	0
72	5	1307	0
72	6	1272	0
72	7	1279	0
72	8	1355	0
72	9	1304	0
72	10	1355	0
80	1	1500	0
80	2	1496	0
80	3	1447	0
80	4	1526	0
80	5	1496	0
80	6	1456	0
80	7	1491	0
80	8	1510	0
80	9	1536	0
80	10	1547	0
88	1	1737	0
88	2	1745	0
88	3	1633	0
88	4	1690	0
88	5	1722	0
88	6	1705	0
88	7	1732	0
88	8	1755	0
88	9	1745	0
88	10	1660	0
96	1	1895	0
96	2	1865	0
96	3	1848	0
96	4	1940	0
96	5	1956	0
96	6	1865	0
96	7	1881	0
96	8	1836	0
96	9	1895	0
96	10	1907	0
104	1	2116	0
104	2	2094	0
104	3	2092	0
104	4	2154	0
104	5	2131	0
104	6	2181	0
104	7	2072	0
104	8	2125	0
104	9	2114	0
104	10	1983	0
112	1	2414	0
112	2	2371	0
112	3	2361	0
112	4	2283	0
112	5	2294	0
112	6	2391	0
112	7	2277	0
112	8	2253	0
112	9	2336	0
112	10	2384	0
120	1	2609	0
120	2	2453	0
120	3	2551	0
120	4	2520	0
120	5	2542	0
120	6	2479	0
120	7	2478	0
120	8	2530	0
120	9	2591	0
120	10	2493	0
128	1	2697	0
128	2	2795	0
128	3	2689	0
128	4	2787	0
128	5	2673	0
128	6	2797	0
128	7	2780	0
128	8	2763	0
128	9	2830	0
128	10	2773	0
136	1	2949	0
136	2	2939	0
136	3	2936	0
136	4	2904	0
136	5	3042	0
136	6	2997	0
136	7	3010	0
136	8	2907	0
136	9	3020	0
136	10	2991	0
144	1	3334	0
144	2	3207	0
144	3	3184	0
144	4	3273	0
144	5	3165	0
144	6	3180	0
144	7	3205	0
144	8	3211	0
144	9	3312	0
144	10	3243	0
152	1	3477	0
152	2	3442	0
152	3	3547	0
152	4	3491	0
152	5	3433	0
152	6	3474	0
152	7	3495	0
152	8	3454	0
152	9	3429	0
152	10	3371	0
160	1	3553	0
160	2	3706	0
160	3	3707	0
160	4	3711	0
160	5	3713	0
160	6	3650	0
160	7	3675	0
160	8	3771	0
160	9	3677	0
160	10	3573	0
168	1	3934	0
168	2	3942	0
168	3	3814	0
168	4	3949	0
168	5	3966	0
168	6	3950	0
168	7	3966	0
168	8	4002	0
168	9	3953	0
168	10	3927	0
176	1	4153	0
176	2	4190	0
176	3	4287	0
176	4	4125	0
176	5	4081	0
176	6	4148	0
176	7	4325	0
176	8	4236	0
176	9	4231	0
176	10	4238	0
184	1	4513	0
184	2	4436	0
184	3	4538	0
184	4	4352	0
184	5	4394	0
184	6	4457	0
184	7	4376	0
184	8	4411	0
184	9	4446	0
184	10	4320	0
192	1	4668	0
192	2	4660	0
192	3	4704	0
192	4	4592	0
192	5	4547	0
192	6	4584	0
192	7	4667	0
192	8	4636	0
192	9	4732	0
192	10	4704	0
200	1	5017	0
200	2	4935	0
200	3	5019	0
200	4	5022	0
200	5	4858	0
200	6	4981	0
200	7	4835	0
200	8	4839	0
200	9	4831	0
200	10	4802	0
208	1	5137	0
208	2	5219	0
208	3	5080	0
208	4	5063	0
208	5	4981	0
208	6	5140	0
208	7	5239	0
208	8	5202	0
208	9	5151	0
208	10	5136	0
216	1	5451	0
216	2	5308	0
216	3	5326	0
216	4	5352	0
216	5	5440	0
216	6	5448	0
216	7	5360	0
216	8	5328	0
216	9	5440	0
216	10	5529	0
224	1	5561	0
224	2	5685	0
224	3	5513	0
224	4	5633	0
224	5	5470	0
224	6	5675	0
224	7	5592	0
224	8	5715	0
224	9	5634	0
224	10	5657	0
232	1	5770	0
232	2	5847	0
232	3	5849	0
232	4	5864	0
232	5	5772	0
232	6	5753	0
232	7	5915	0
232	8	5915	0
232	9	5871	0
232	10	5899	0
240	1	6133	0
240	2	6158	0
240	3	5987	0
240	4	6055	0
240	5	6073	0
240	6	6169	0
240	7	6210	0
240	8	6119	0
240	9	6118	0
240	10	6187	0
248	1	6485	0
248	2	6354	0
248	3	6409	0
248	4	6446	0
248	5	6397	0
248	6	6454	0
248	7	6426	0
248	8	6420	0
248	9	6336	0
248	10	6519	0
256	1	6728	0
256	2	6691	0
256	3	6683	0
256	4	6603	0
256	5	6748	0
256	6	6779	0
256	7	6747	0
256	8	6617	0
256	9	6763	0
256	10	6620	0
264	1	6931	0
264	2	6797	0
264	3	6875	0
264	4	7040	0
264	5	7096	0
264	6	7042	0
264	7	7031	0
264	8	7015	0
264	9	7055	0
264	10	6900	0
272	1	7277	0
272	2	7255	0
272	3	7347	0
272	4	7316	0
272	5	7318	0
272	6	7051	0
272	7	7217	0
272	8	7074	0
272	9	7107	0
272	10	7028	0
280	1	7406	0
280	2	7568	0
280	3	7397	0
280	4	7613	0
280	5	7602	0
280	6	7518	0
280	7	7513	0
280	8	7400	0
280	9	7508	0
280	10	7410	0
288	1	7697	0
288	2	7737	0
288	3	7798	0
288	4	7720	0
288	5	7759	0
288	6	7643	0
288	7	7549	0
288	8	7704	0
288	9	7637	0
288	10	7667	0
296	1	8018	0
296	2	7936	0
296	3	7872	0
296	4	8021	0
296	5	7891	0
296	6	8052	0
296	7	8069	0
296	8	7965	0
296	9	7965	0
296	10	8107	0
304	1	8280	0
304	2	8450	0
304	3	8257	0
304	4	8342	0
304	5	8350	0
304	6	8397	0
304	7	8278	0
304	8	8252	0
304	9	8257	0
304	10	8085	0
312	1	8415	0
312	2	8538	0
312	3	8621	0
312	4	8380	0
312	5	8415	0
312	6	8610	0
312	7	8535	0
312	8	8518	0
312	9	8500	0
312	10	8513	0
320	1	8754	0
320	2	9073	0
320	3	8788	0
320	4	8801	0
320	5	8768	0
320	6	8761	0
320	7	8890	0
320	8	8761	0
320	9	8798	0
320	10	8679	0
328	1	9026	0
328	2	9016	0
328	3	9269	0
328	4	9067	0
328	5	9038	0
328	6	9169	0
328	7	9161	0
328	8	8904	0
328	9	9120	0
328	10	9022	0
336	1	9386	0
336	2	9315	0
336	3	9352	0
336	4	9423	0
336	5	9225	0
336	6	9341	0
336	7	9287	0
336	8	9393	0
336	9	9219	0
336	10	9238	0
344	1	9481	0
344	2	9703	0
344	3	9471	0
344	4	9668	0
344	5	9541	0
344	6	9744	0
344	7	9577	0
344	8	9497	0
344	9	9536	0
344	10	9634	0
352	1	9810	0
352	2	9982	0
352	3	9956	0
352	4	9695	0
352	5	9826	0
352	6	10084	0
352	7	9899	0
352	8	9918	0
352	9	9823	0
352	10	9925	0
360	1	10183	0
360	2	10237	0
360	3	10203	0
360	4	10268	0
360	5	10196	0
360	6	10301	0
360	7	10198	0
360	8	10229	0
360	9	10118	0
360	10	10012	0
368	1	10363	0
368	2	10432	0
368	3	10422	0
368	4	10340	0
368	5	10496	0
368	6	10310	0
368	7	10316	0
368	8	10449	0
368	9	10705	0
368	10	10589	0
376	1	10696	0
376	2	10727	0
376	3	10519	0
376	4	10748	0
376	5	10767	0
376	6	10753	0
376	7	10681	0
376	8	10644	0
376	9	10802	0
376	10	10741	0
384	1	10949	0
384	2	11002	0
384	3	11026	0
384	4	11068	0
384	5	11082	0
384	6	10941	0
384	7	10983	0
384	8	11123	0
384	9	11038	0
384	10	10891	0
392	1	11438	0
392	2	11473	0
392	3	11239	0
392	4	11305	0
392	5	11237	0
392	6	11378	0
392	7	11290	0
392	8	11256	0
392	9	11392	0
392	10	11328	0
400	1	11476	0
400	2	11670	0
400	3	11434	0
400	4	11562	0
400	5	11669	0
400	6	11586	0
400	7	11593	0
400	8	11613	0
400	9	11515	0
400	10	11612	0
408	1	11708	0
408	2	11749	0
408	3	11895	0
408	4	11980	0
408	5	11955	0
408	6	11625	0
408	7	11948	0
408	8	11662	0
408	9	11786	0
408	10	12001	0
416	1	12087	0
416	2	12138	0
416	3	11949	0
416	4	12039	0
416	5	12121	0
416	6	12118	0
416	7	12209	0
416	8	12005	0
416	9	12394	0
416	10	12315	0
424	1	12312	0
424	2	12364	0
424	3	12508	0
424	4	12346	0
424	5	12561	0
424	6	12236	0
424	7	12316	0
424	8	12252	0
424	9	12516	0
424	10	12466	0
432	1	12585	0
432	2	12698	0
432	3	12742	0
432	4	12450	0
432	5	12614	0
432	6	12811	0
432	7	12871	0
432	8	12567	0
432	9	12741	0
432	10	12463	0
440	1	12788	0
440	2	12918	0
440	3	13021	0
440	4	12845	0
440	5	12807	0
440	6	12948	0
440	7	13051	0
440	8	13085	0
440	9	12816	0
440	10	12985	0
448	1	13275	0
448	2	13354	0
448	3	13186	0
448	4	13134	0
448	5	13156	0
448	6	13212	0
448	7	13148	0
448	8	13374	0
448	9	12980	0
448	10	13186	0
456	1	13405	0
456	2	13453	0
456	3	13538	0
456	4	13402	0
456	5	13685	0
456	6	13544	0
456	7	13217	0
456	8	13426	0
456	9	13423	0
456	10	13613	0
464	1	13974	0
464	2	13750	0
464	3	13844	0
464	4	13765	0
464	5	13711	0
464	6	13888	0
464	7	13879	0
464	8	13792	0
464	9	13738	0
464	10	13983	0
472	1	14259	0
472	2	14023	0
472	3	14165	0
472	4	14238	0
472	5	13997	0
472	6	14220	0
472	7	14048	0
472	8	14028	0
472	9	14122	0
472	10	14218	0
480	1	14340	0
480	2	14324	0
480	3	14422	0
480	4	14353	0
480	5	14427	0
480	6	14502	0
480	7	14540	0
480	8	14361	0
480	9	14331	0
480	10	14349	0
488	1	14554	0
488	2	14953	0
488	3	14852	0
488	4	14894	0
488	5	14581	0
488	6	14908	0
488	7	14665	0
488	8	14588	0
488	9	14556	0
488	10	14647	0
496	1	14956	0
496	2	14957	0
496	3	15005	0
496	4	14868	0
496	5	14818	0
496	6	14960	0
496	7	14996	0
496	8	15145	0
496	9	14875	0
496	10	15000	0
504	1	15538	0
504	2	15226	0
504	3	15302	0
504	4	15322	0
504	5	15475	0
504	6	15489	0
504	7	15241	0
504	8	15226	0
504	9	15269	0
504	10	15322	0
512	1	15766	0
512	2	15578	0
512	3	15699	0
512	4	15631	0
512	5	15546	0
512	6	15773	0
512	7	15822	0
512	8	15602	0
512	9	15617	0
512	10	15684	0
520	1	15908	0
520	2	16051	0
520	3	16002	0
520	4	16089	0
520	5	15940	0
520	6	16118	0
520	7	15997	0
520	8	16124	0
520	9	16064	0
520	10	15916	0
528	1	16468	0
528	2	16237	0
528	3	16528	0
528	4	16283	0
528	5	16260	0
528	6	16181	0
528	7	16034	0
528	8	16193	0
528	9	16465	0
528	10	16150	0
536	1	16629	0
536	2	16503	0
536	3	16605	0
536	4	16509	0
536	5	16495	0
536	6	16442	0
536	7	16759	0
536	8	16982	0
536	9	16584	0
536	10	16451	0
544	1	16817	0
544	2	16966	0
544	3	17009	0
544	4	16657	0
544	5	16925	0
544	6	16893	0
544	7	16897	0
544	8	16741	0
544	9	16733	0
544	10	16980	0
552	1	17241	0
552	2	17221	0
552	3	17029	0
552	4	17141	0
552	5	17006	0
552	6	17391	0
552	7	17233	0
552	8	17068	0
552	9	17143	0
552	10	17186	0
560	1	17699	0
560	2	17321	0
560	3	17516	0
560	4	17361	0
560	5	17464	0
560	6	17333	0
560	7	17514	0
560	8	17369	0
560	9	17265	0
560	10	17408	0
568	1	17743	0
568	2	17526	0
568	3	17919	0
568	4	17587	0
568	5	17756	0
568	6	17865	0
568	7	17818	0
568	8	17767	0
568	9	17749	0
568	10	17816	0
576	1	18002	0
576	2	18036	0
576	3	18093	0
576	4	17770	0
576	5	17949	0
576	6	18051	0
576	7	18075	0
576	8	18118	0
576	9	18138	0
576	10	17929	0
584	1	18259	0
584	2	18403	0
584	3	18107	0
584	4	18474	0
584	5	18424	0
584	6	18362	0
584	7	18328	0
584	8	18212	0
584	9	18258	0
584	10	18241	0
592	1	18844	0
592	2	18448	0
592	3	18960	0
592	4	18841	0
592	5	18700	0
592	6	18657	0
592	7	18986	0
592	8	18481	0
592	9	18786	0
592	10	18722	0
600	1	18961	0
600	2	18868	0
600	3	18990	0
600	4	19067	0
600	5	19098	0
600	6	19078	0
600	7	18985	0
600	8	19004	0
600	9	18820	0
600	10	18947	0
608	1	19199	0
608	2	19035	0
608	3	19395	0
608	4	19134	0
608	5	19397	0
608	6	19297	0
608	7	19271	0
608	8	19230	0
608	9	19345	0
608	10	19117	0
616	1	19474	0
616	2	19459	0
616	3	19389	0
616	4	19739	0
616	5	19517	0
616	6	19634	0
616	7	19601	0
616	8	19548	0
616	9	19749	0
616	10	19570	0
624	1	19748	0
624	2	20107	0
624	3	19806	0
624	4	20129	0
624	5	19650	0
624	6	19895	0
624	7	19938	0
624	8	19831	0
624	9	19935	0
624	10	20153	0
632	1	20328	0
632	2	20304	0
632	3	20393	0
632	4	20030	0
632	5	20234	0
632	6	20335	0
632	7	20088	0
632	8	20250	0
632	9	20024	0
632	10	20091	0
640	1	20595	0
640	2	20383	0
640	3	20464	0
640	4	20354	0
640	5	20459	0
640	6	20439	0
640	7	20837	0
640	8	20489	0
640	9	20434	0
640	10	20370	0
648	1	20791	0
648	2	20794	0
648	3	20693	0
648	4	20730	0
648	5	20833	0
648	6	21040	0
648	7	20740	0
648	8	20851	0
648	9	20733	0
648	10	20835	0
656	1	21291	0
656	2	21064	0
656	3	21103	0
656	4	21269	0
656	5	21112	0
656	6	21131	0
656	7	20950	0
656	8	21006	0
656	9	21066	0
656	10	21087	0
664	1	21257	0
664	2	21355	0
664	3	21271	0
664	4	21271	0
664	5	21389	0
664	6	21326	0
664	7	21349	0
664	8	21215	0
664	9	21311	0
664	10	21140	0
672	1	21508	0
672	2	21635	0
672	3	21624	0
672	4	21695	0
672	5	21816	0
672	6	21414	0
672	7	21313	0
672	8	21649	0
672	9	21699	0
672	10	21843	0
680	1	22000	0
680	2	22175	0
680	3	21992	0
680	4	22078	0
680	5	22086	0
680	6	21793	0
680	7	21956	0
680	8	21957	0
680	9	22148	0
680	10	22320	0
688	1	22090	0
688	2	22421	0
688	3	22456	0
688	4	22057	0
688	5	22360	0
688	6	22672	0
688	7	22336	0
688	8	22475	0
688	9	22221	0
688	10	22447	0
696	1	22484	0
696	2	22782	0
696	3	22701	0
696	4	22640	0
696	5	22604	0
696	6	22950	0
696	7	22685	0
696	8	22641	0
696	9	22653	0
696	10	22596	0
704	1	22990	0
704	2	22901	0
704	3	22866	0
704	4	22674	0
704	5	23043	0
704	6	23060	0
704	7	22900	0
704	8	22935	0
704	9	22869	0
704	10	23030	0
712	1	23354	0
712	2	23291	0
712	3	23261	0
712	4	23230	0
712	5	23192	0
712	6	23385	0
712	7	23313	0
712	8	23361	0
712	9	23204	0
712	10	23185	0
720	1	23772	0
720	2	23792	0
720	3	23546	0
720	4	23569	0
720	5	23832	0
720	6	23716	0
720	7	23599	0
720	8	23587	0
720	9	23726	0
720	10	23543	0
728	1	24011	0
728	2	23795	0
728	3	23682	0
728	4	23718	0
728	5	23853	0
728	6	23798	0
728	7	23905	0
728	8	24065	0
728	9	23793	0
728	10	23891	0
736	1	24192	0
736	2	24272	0
736	3	24045	0
736	4	23952	0
736	5	24115	0
736	6	24196	0
736	7	23881	0
736	8	24112	0
736	9	24063	0
736	10	24566	0
744	1	24789	0
744	2	24470	0
744	3	24491	0
744	4	24620	0
744	5	24682	0
744	6	24415	0
744	7	24797	0
744	8	24308	0
744	9	24440	0
744	10	24413	0
752	1	24569	0
752	2	24759	0
752	3	25050	0
752	4	24964	0
752	5	24862	0
752	6	25018	0
752	7	24993	0
752	8	24659	0
752	9	24770	0
752	10	24721	0
760	1	25097	0
760	2	24884	0
760	3	25190	0
760	4	25196	0
760	5	24969	0
760	6	25420	0
