length	run	comparisons	blacklistings
8	1	56	0
8	2	56	0
8	3	53	0
8	4	52	0
8	5	53	0
8	6	50	0
8	7	53	0
8	8	49	0
8	9	48	0
8	10	55	0
16	1	166	0
16	2	158	0
16	3	159	0
16	4	172	0
16	5	134	0
16	6	142	0
16	7	146	0
16	8	161	0
16	9	157	0
16	10	161	0
24	1	264	0
24	2	288	0
24	3	295	0
24	4	295	0
24	5	272	0
24	6	313	0
24	7	303	0
24	8	286	0
24	9	280	0
24	10	287	0
32	1	476	0
32	2	426	0
32	3	454	0
32	4	446	0
32	5	424	0
32	6	469	0
32	7	435	0
32	8	424	0
32	9	444	0
32	10	479	0
40	1	576	0
40	2	600	0
40	3	581	0
40	4	556	0
40	5	570	0
40	6	580	0
40	7	603	0
40	8	624	0
40	9	578	0
40	10	613	0
48	1	805	0
48	2	764	0
48	3	746	0
48	4	799	0
48	5	710	0
48	6	774	0
48	7	827	0
48	8	727	0
48	9	755	0
48	10	758	0
56	1	956	0
56	2	945	0
56	3	1006	0
56	4	1017	0
56	5	972	0
56	6	978	0
56	7	971	0
56	8	866	0
56	9	939	0
56	10	915	0
64	1	1116	0
64	2	1149	0
64	3	1152	0
64	4	1180	0
64	5	1159	0
64	6	1130	0
64	7	1223	0
64	8	1143	0
64	9	1152	0
64	10	1159	0
72	1	1354	0
72	2	1333	0
72	3	1362	0
72	4	1356	0
72	5	1338	0
72	6	1255	0
72	7	1374	0
72	8	1356	0
72	9	1346	0
72	10	1349	0
80	1	1533	0
80	2	1537	0
80	3	1533	0
80	4	1538	0
80	5	1528	0
80	6	1562	0
80	7	1651	0
80	8	1518	0
80	9	1546	0
80	10	1521	0
88	1	1759	0
88	2	1826	0
88	3	1751	0
88	4	1819	0
88	5	1749	0
88	6	1689	0
88	7	1798	0
88	8	1777	0
88	9	1798	0
88	10	1709	0
96	1	2015	0
96	2	1969	0
96	3	1910	0
96	4	1926	0
96	5	1912	0
96	6	2054	0
96	7	2041	0
96	8	1952	0
96	9	1993	0
96	10	1945	0
104	1	2177	0
104	2	2168	0
104	3	2113	0
104	4	2139	0
104	5	2187	0
104	6	2261	0
104	7	2277	0
104	8	2179	0
104	9	2143	0
104	10	2223	0
112	1	2367	0
112	2	2402	0
112	3	2268	0
112	4	2411	0
112	5	2440	0
112	6	2461	0
112	7	2348	0
112	8	2403	0
112	9	2419	0
112	10	2344	0
120	1	2711	0
120	2	2688	0
120	3	2672	0
120	4	2674	0
120	5	2623	0
120	6	2630	0
120	7	2592	0
120	8	2645	0
120	9	2655	0
120	10	2633	0
128	1	2856	0
128	2	2900	0
128	3	2934	0
128	4	2910	0
128	5	2881	0
128	6	2901	0
128	7	2866	0
128	8	2870	0
128	9	2952	0
128	10	2990	0
136	1	3192	0
136	2	3109	0
136	3	3055	0
136	4	3090	0
136	5	3124	0
136	6	3101	0
136	7	3222	0
136	8	3091	0
136	9	3173	0
136	10	3080	0
144	1	3395	0
144	2	3402	0
144	3	3400	0
144	4	3493	0
144	5	3286	0
144	6	3313	0
144	7	3424	0
144	8	3331	0
144	9	3307	0
144	10	3336	0
152	1	3422	0
152	2	3585	0
152	3	3620	0
152	4	3550	0
152	5	3692	0
152	6	3652	0
152	7	3597	0
152	8	3656	0
152	9	3676	0
152	10	3452	0
160	1	3733	0
160	2	3865	0
160	3	3774	0
160	4	3815	0
160	5	3719	0
160	6	3811	0
160	7	3803	0
160	8	3884	0
160	9	3847	0
160	10	3799	0
168	1	4195	0
168	2	4125	0
168	3	3958	0
168	4	4057	0
168	5	4098	0
168	6	4111	0
168	7	4077	0
168	8	4142	0
168	9	4049	0
168	10	4084	0
176	1	4291	0
176	2	4279	0
176	3	4394	0
176	4	4081	0
176	5	4224	0
176	6	4353	0
176	7	4376	0
176	8	4320	0
176	9	4302	0
176	10	4370	0
184	1	4539	0
184	2	4569	0
184	3	4290	0
184	4	4677	0
184	5	4455	0
184	6	4523	0
184	7	4556	0
184	8	4493	0
184	9	4405	0
184	10	4346	0
192	1	4596	0
192	2	4320	0
192	3	4887	0
192	4	4904	0
192	5	4871	0
192	6	4691	0
192	7	4885	0
192	8	4928	0
192	9	4821	0
192	10	4868	0
200	1	4973	0
200	2	5040	0
200	3	5128	0
200	4	5030	0
200	5	5059	0
200	6	5029	0
200	7	5065	0
200	8	5009	0
200	9	4743	0
200	10	5169	0
208	1	5225	0
208	2	5350	0
208	3	5250	0
208	4	5455	0
208	5	5232	0
208	6	5152	0
208	7	5328	0
208	8	5263	0
208	9	5213	0
208	10	5388	0
216	1	5600	0
216	2	5545	0
216	3	5468	0
216	4	5357	0
216	5	5537	0
216	6	5451	0
216	7	5288	0
216	8	5746	0
216	9	5661	0
216	10	5273	0
224	1	5739	0
224	2	5992	0
224	3	5850	0
224	4	5824	0
224	5	5623	0
224	6	5784	0
224	7	6022	0
224	8	5871	0
224	9	5714	0
224	10	5856	0
232	1	6060	0
232	2	5957	0
232	3	6020	0
232	4	6170	0
232	5	6169	0
232	6	5977	0
232	7	6181	0
232	8	6174	0
232	9	6155	0
232	10	6071	0
240	1	6287	0
240	2	6285	0
240	3	6461	0
240	4	6426	0
